ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
COL03121_8A_1,COL03121,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,2485,5291606,40524743,75249796,27758755.84,5127.108,36981145.6,4801.649
COL03100_8C_1,COL03100,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,2485,24940430,129524739,534504181,133812994,25515.963,178380283.9,28974.166
COL03100_8B_1,COL03100,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,2485,313347196,1064181943,4498967482,1779102753,427776.158,2094958993,384350.39
COL02027_9A_1,COL02027,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,98599503,478576511,4155801985,510286307.3,25800.998,610990981.1,18958.647
COL02027_9C_1,COL02027,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,400681224,12980473176,10667487162,2114013684,298527.531,2654119862,221047.567
COL02027_9B_1,COL02027,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,413313370,9704771817,9310141843,2288623321,268586.748,2704748749,173348.392
COL03006_9C_1,COL03006,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,270607286,1194075784,5493593978,1334532080,115161.525,1623481475,74727.028
COL03006_9B_1,COL03006,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,1581604000,26305162198,60871483,9086012260,1292765.824,9454531437,847764.581
COL03006_9A_1,COL03006,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,197251639,1182705801,5094459790,921941155.8,89002.383,1192270905,66259.158
COL03098_8B_1,COL03098,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,2485,69323818,191949140,1083674917,331269087.2,46440.84,442893549.6,49533.278
