ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
JKT00898_9A_1,JKT00898,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,85243212,383434609,3928156480,24952549.1,21470.953,484030327,40265.95
JKT00898_9C_1,JKT00898,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,117575784,659611786,3083648851,485098266.6,47746.501,740537555.5,52970.04
JKT09138_2B_1,JKT09138R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,2000,36238560,167859220,554535833,176033833,14019.357,242167242.8,12320.935
JKT09138_2C_1,JKT09138R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,2000,12999073,78859171,219050867,67457785.86,5476.434,87580827.65,5056.402
JKT00897_3A_1,JKT00897,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,238942503,880178821,5540426565,974155561,90284.444,1492877959,79662.662
JKT00897_3C_1,JKT00897,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,61639236,278563456,1440978371,39036930.6,25139.323,40913858.3,20392.783
JKT00114_9C_1,JKT00114,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,70791740,392845268,1999706184,270518992.9,19007.614,387187908.6,13826.975
JKT00114_9B_1,JKT00114,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,97506940,890298907,41973449,428932726.8,39125.744,661788729.3,36536.608
JKT00222_7A_1,JKT00222,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,503974646,3969977051,15907306175,3268959617,884663.581,361639886,880345.063
JKT00222_7C_1,JKT00222,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,49905534,362840648,1144638259,240983670.8,27456.81,345681207.3,32335.71
JKT00897_3B_1,JKT00897,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,216495780,532701652,2830489484,979453583.4,68404.842,1205396554,49611.847
JKT00114_9A_1,JKT00114,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,303400843,2477432288,458490024,1440918012,125382.072,1737425281,75472.88
JKT00162_9A_1,JKT00162,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,369897386,1406490674,8335005352,1821902823,136887.625,213950365,87627.188
JKT00162_9B_1,JKT00162,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,138158375,517586018,3594006975,522545078.3,30162.402,758880493.6,25425.014
JKT00162_9C_1,JKT00162,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,20979068,650590851,4488445371,940235299.3,58407.53,972478700,38770.052
JKT00172_9A_1,JKT00172,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,347933218,1598341572,8861674995,1587426451,258435.689,1983997239,212405.063
JKT00172_9C_1,JKT00172,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,164046803,940517125,5529990644,750709039.1,111218.147,934646448.1,87407.99
