ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
ORL09608_2C_1,ORL09608R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,395994219,1752310104,6285920132,2128485097,236636.732,2539778269,199494.428
ORL09723_2B_1,ORL09723R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,56409681,306889371,1347542015,341707767.8,33785.803,396197691.4,32078.354
ORL09723_2C_1,ORL09723R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,85515526,319639107,1318482149,474490322.9,33744.645,557877346.3,28188.128
ORL09723_2A_1,ORL09723R,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,200601598,834328196,3460740219,1115064189,107767.24,1293179970,87512.455
ORL00139_3A_1,ORL00139,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,9820,28382318,88438056,5813984252,123004002.3,6363.953,166125387.8,5660.629
ORL00139_3C_1,ORL00139,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,9820,10804093,29327727,1337348534,38350946.3,1864.389,50977972.22,1380.311
ORL00665_9A_1,ORL00665,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,260255079,933622942,4252920485,937020457,64294.096,1282339111,51777.833
ORL00665_9C_1,ORL00665,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,261135623,2893771337,5979567082,1355162796,135003.579,1608891179,119592.562
ORL00665_9B_1,ORL00665,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,127758344,772034637,2835903155,540286484.5,40699.807,740623048.7,36725.94
ORL00975_9B_1,ORL00975,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,408857237,4296565627,8313480088,2578638266,273679.986,2698629726,194916.244
ORL00199_9A_1,ORL00199,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,164224219,271914951,3088562714,380164562.9,16739.074,610959958,17690.394
ORL00199_9B_1,ORL00199,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,41443821,178735401,984766216,41720012.8,2923.532,131745693.7,4769.248
ORL00199_9C_1,ORL00199,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n75-15MHz,1125,39699333,690704300,3289283243,149366726.7,22764.754,227223961.6,25621.808
ORL00365_2C_1,ORL00365,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,170302161,805189567,6776585228,809972121.6,79064.614,1116310004,72726.574
ORL00365_2A_1,ORL00365,20170705,PACIFIC NORTHWEST,13.15.0,West,Oregon,n50-10MHz,2000,196489609,802216231,7919943837,999073898.5,88649.52,1284835672,73565.73
