ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
SBY00565_7A_1,SBY00565,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,424549268,3163192357,6878491966,2727725474,416278.064,2959781110,355577.65
SBY00565_7C_1,SBY00565,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,362349074,3765683467,7505740116,2425665528,531441.724,2576239403,464144.776
SBY00565_7B_1,SBY00565,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,464494896,5706446369,9283057396,3143660372,886360.07,3371832934,808534.581
SBY00729_7B_1,SBY00729,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,221478314,3386886578,6535824992,2422404902,231844.474,1548650832,232464.282
SBY00729_7C_1,SBY00729,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,67619892,2469462421,1979793667,374685314.5,59446.993,482994266.1,63872.938
SBY00729_7A_1,SBY00729,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,118178500,1706786597,3656392507,638862598.1,108475.279,829847855.1,111777.365
SBY00578_7C_1,SBY00578,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,55372161,888002536,2307937387,311469416.4,49587.374,383665430.5,49644.657
SBY00578_7B_1,SBY00578,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,150257157,1191938147,3847569263,713137905.7,101540.904,949019664.4,93047.307
SBY00671_7C_1,SBY00671,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,244822647,3153299094,3023165960,725817770,133642.075,862186242,240110.799
SBY00671_7B_1,SBY00671,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,72531111,1016706591,2744767578,406653610.2,61185.864,502808117.2,59917.34
SBY00104_7C_1,SBY00104,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,169744542,1673213894,3903572994,1098927809,183656.957,2416054245,156900.492
SBY00104_7B_1,SBY00104,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,194088895,2261369132,4492539523,1114639876,197956.338,1334919024,177805.978
SBY00102_7A_1,SBY00102,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,100936183,965244305,3493374839,524890488.8,72590.461,703689932.8,74621.383
SBY00119_7B_1,SBY00119,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,241167529,924871183,2272409874,604468166.7,82467.56,803617841.2,71810.291
SBY00800_7A_1,SBY00800,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,319224694,4994002432,7313892493,1913599525,454273.379,2287291687,442583.37
SBY00800_7B_1,SBY00800,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,76697452,644648585,3996506431,375471431.7,53131.39,500639686.7,49561.286
SBY00006_7B_1,SBY00006,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,43199443,684680765,1039413565,257896218.6,34997.274,303082143.7,34098.417
SBY00006_7C_1,SBY00006,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,314102472,2827226654,5244376796,1341557711,273825.503,1497249038,260756.393
