ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
NYL01019_9C_1,NYL01019,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,650,274303705,1332880401,10083812837,1738918068,206843.655,1944522539,166670.245
NYL02446_7B_1,NYL02446,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,27146869,322406476,4647578485,102696935.4,11559.629,178709495.8,15663.868
NYL02450_7A_1,NYL02450,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,40015107,1148099574,1755070894,235601305.6,38169.11,298096238.6,46083.783
NYL02453_7B_1,NYL02453,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,36895391,237174048,2797797682,155987517.4,15338.107,248196890.6,17564.342
NYL02459_7B_1,NYL02459,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,111582859,1800430345,5003264999,596181024.8,101968.533,808514420.7,111579.96
NYL02493_7B_1,NYL02493,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,19555679,243477743,1057624698,93509435.39,10806.941,126265016.3,12611.514
NYL02493_7A_1,NYL02493,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,18638669,379134319,1078331036,94145093.63,15727.561,122072031.2,16896.927
NYL02597_7A_1,NYL02597,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,234612027,3216414649,6100527562,1507001942,211719.003,1657571967,189180.27
NYL02605_7C_1,NYL02605,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,434399983,4123533500,8010847737,2761766265,421868.873,3068805284,376148.486
NYL02849_7B_1,NYL02849,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,161072702,3109112011,4196605769,959096668.2,197463.129,1153652269,188807.905
